"loan_id";"account_id";"date";"amount";"duration";"payments";"status"
5314;1787;930705 00:00:00;96396;12;8033.00;"B"
5316;1801;930711 00:00:00;165960;36;4610.00;"A"
6863;9188;930728 00:00:00;127080;60;2118.00;"A"
5325;1843;930803 00:00:00;105804;36;2939.00;"A"
7240;11013;930906 00:00:00;274740;60;4579.00;"A"
6687;8261;930913 00:00:00;87840;24;3660.00;"A"
7284;11265;930915 00:00:00;52788;12;4399.00;"A"
6111;5428;930924 00:00:00;174744;24;7281.00;"B"
7235;10973;931013 00:00:00;154416;48;3217.00;"A"
5997;4894;931104 00:00:00;117024;24;4876.00;"A"
7121;10364;931110 00:00:00;21924;36;609.00;"A"
6077;5270;931122 00:00:00;79608;24;3317.00;"A"
6228;6034;931201 00:00:00;464520;60;7742.00;"B"
6356;6701;931208 00:00:00;95400;36;2650.00;"A"
5523;2705;931208 00:00:00;93888;36;2608.00;"A"
6456;7123;931209 00:00:00;47016;12;3918.00;"A"
7104;10320;931213 00:00:00;259740;60;4329.00;"A"
6820;9034;931216 00:00:00;38148;12;3179.00;"A"
6876;9236;931221 00:00:00;86616;12;7218.00;"A"
7097;10266;931223 00:00:00;75624;24;3151.00;"B"
4959;2;940105 00:00:00;80952;24;3373.00;"A"
6499;7401;940105 00:00:00;80952;24;3373.00;"A"
5479;2486;940110 00:00:00;24516;12;2043.00;"A"
5170;1071;940120 00:00:00;253200;60;4220.00;"C"
6721;8475;940121 00:00:00;21072;24;878.00;"A"
7259;11111;940131 00:00:00;108144;36;3004.00;"A"
5285;1603;940206 00:00:00;78936;12;6578.00;"A"
5189;1166;940207 00:00:00;149040;48;3105.00;"A"
6650;8073;940217 00:00:00;49320;12;4110.00;"B"
7226;10940;940223 00:00:00;197748;36;5493.00;"A"
6087;5313;940227 00:00:00;300660;60;5011.00;"C"
7262;11135;940301 00:00:00;182628;36;5073.00;"A"
5519;2694;940308 00:00:00;91632;12;7636.00;"A"
6577;7753;940311 00:00:00;51696;24;2154.00;"A"
6509;7445;940315 00:00:00;55368;24;2307.00;"A"
6520;7485;940316 00:00:00;91200;24;3800.00;"A"
6699;8330;940330 00:00:00;7656;24;319.00;"A"
6336;6555;940331 00:00:00;212400;36;5900.00;"A"
7055;10079;940406 00:00:00;167100;60;2785.00;"C"
6103;5385;940407 00:00:00;149340;60;2489.00;"C"
6202;5891;940418 00:00:00;65184;12;5432.00;"A"
7066;10131;940502 00:00:00;215388;36;5983.00;"B"
6696;8321;940509 00:00:00;89040;60;1484.00;"C"
6072;5256;940510 00:00:00;193968;36;5388.00;"A"
5130;813;940511 00:00:00;24312;12;2026.00;"A"
5568;2933;940517 00:00:00;272520;60;4542.00;"C"
6678;8173;940520 00:00:00;80340;12;6695.00;"A"
6998;9833;940521 00:00:00;97632;12;8136.00;"A"
6580;7769;940522 00:00:00;196080;48;4085.00;"A"
6316;6473;940526 00:00:00;76908;12;6409.00;"B"
6512;7454;940526 00:00:00;63312;48;1319.00;"A"
6407;6930;940526 00:00:00;25944;24;1081.00;"A"
5002;173;940531 00:00:00;104808;12;8734.00;"A"
6647;8051;940601 00:00:00;208320;48;4340.00;"A"
7137;10439;940603 00:00:00;151560;24;6315.00;"A"
6903;9337;940604 00:00:00;52128;24;2172.00;"A"
5918;4576;940604 00:00:00;300204;36;8339.00;"A"
6642;8027;940605 00:00:00;77640;12;6470.00;"A"
6210;5927;940606 00:00:00;87216;48;1817.00;"B"
6279;6273;940607 00:00:00;87360;24;3640.00;"A"
7249;11065;940612 00:00:00;69360;48;1445.00;"A"
6736;8558;940614 00:00:00;288360;60;4806.00;"C"
6112;5442;940617 00:00:00;174744;24;7281.00;"B"
5319;1811;940623 00:00:00;239460;60;3991.00;"C"
6596;7844;940625 00:00:00;91584;24;3816.00;"A"
5837;4260;940629 00:00:00;244560;60;4076.00;"C"
5657;3354;940705 00:00:00;4980;12;415.00;"A"
5533;2762;940705 00:00:00;111384;24;4641.00;"A"
6232;6051;940708 00:00:00;276660;36;7685.00;"B"
6888;9265;940711 00:00:00;39576;12;3298.00;"A"
6066;5228;940711 00:00:00;173808;24;7242.00;"A"
5549;2824;940716 00:00:00;50460;60;841.00;"C"
5060;426;940719 00:00:00;252060;60;4201.00;"D"
6004;4937;940723 00:00:00;143904;24;5996.00;"A"
5126;790;940724 00:00:00;208128;48;4336.00;"B"
7220;10911;940728 00:00:00;131292;36;3647.00;"A"
6668;8129;940730 00:00:00;74736;36;2076.00;"A"
5395;2176;940730 00:00:00;299088;36;8308.00;"B"
6836;9093;940803 00:00:00;189300;60;3155.00;"C"
6064;5215;940804 00:00:00;14628;12;1219.00;"A"
6919;9403;940805 00:00:00;120888;36;3358.00;"A"
6841;9104;940807 00:00:00;172080;48;3585.00;"A"
6038;5120;940810 00:00:00;323472;48;6739.00;"A"
6729;8519;940811 00:00:00;74688;12;6224.00;"A"
7198;10788;940823 00:00:00;45768;12;3814.00;"A"
6686;8260;940825 00:00:00;224604;36;6239.00;"A"
5836;4259;940827 00:00:00;79632;24;3318.00;"A"
7061;10105;940827 00:00:00;121896;24;5079.00;"A"
5595;3050;940902 00:00:00;82896;12;6908.00;"A"
5723;3674;940910 00:00:00;23628;12;1969.00;"A"
6120;5481;940911 00:00:00;209184;48;4358.00;"A"
6895;9307;940919 00:00:00;41904;12;3492.00;"A"
5882;4427;940926 00:00:00;87816;12;7318.00;"A"
5754;3834;940928 00:00:00;23052;12;1921.00;"A"
6594;7824;940928 00:00:00;189696;24;7904.00;"B"
6738;8566;940929 00:00:00;230220;36;6395.00;"B"
6624;7965;940930 00:00:00;71460;12;5955.00;"A"
6216;5952;940930 00:00:00;141240;24;5885.00;"A"
6229;6040;941002 00:00:00;11736;24;489.00;"A"
5887;4448;941003 00:00:00;192744;36;5354.00;"A"
6808;8982;941012 00:00:00;227880;36;6330.00;"A"
6297;6363;941025 00:00:00;17508;12;1459.00;"A"
5161;1012;941028 00:00:00;98184;24;4091.00;"A"
5390;2167;941030 00:00:00;170256;24;7094.00;"A"
6150;5622;941102 00:00:00;83016;12;6918.00;"A"
6223;5991;941103 00:00:00;61056;48;1272.00;"A"
5032;290;941103 00:00:00;123696;48;2577.00;"A"
6253;6148;941104 00:00:00;59760;24;2490.00;"A"
6460;7133;941106 00:00:00;48672;36;1352.00;"A"
6645;8041;941106 00:00:00;140400;36;3900.00;"A"
5176;1106;941112 00:00:00;192552;24;8023.00;"B"
5269;1527;941119 00:00:00;164052;36;4557.00;"B"
5351;1978;941204 00:00:00;205200;36;5700.00;"A"
5861;4337;941208 00:00:00;51408;24;2142.00;"A"
5450;2345;941211 00:00:00;199680;60;3328.00;"C"
7142;10451;941219 00:00:00;482940;60;8049.00;"D"
6306;6425;941220 00:00:00;36684;12;3057.00;"A"
6272;6226;941220 00:00:00;398640;60;6644.00;"C"
5044;344;941221 00:00:00;100980;60;1683.00;"C"
5576;2962;941221 00:00:00;31248;12;2604.00;"A"
7192;10738;941221 00:00:00;115992;36;3222.00;"A"
5739;3747;950102 00:00:00;76380;12;6365.00;"A"
6526;7523;950103 00:00:00;288468;36;8013.00;"A"
5624;3166;950103 00:00:00;177744;48;3703.00;"D"
6244;6118;950108 00:00:00;270648;36;7518.00;"B"
5131;816;950108 00:00:00;48624;24;2026.00;"A"
6960;9640;950111 00:00:00;76416;24;3184.00;"A"
6358;6715;950114 00:00:00;137880;60;2298.00;"D"
5418;2245;950116 00:00:00;347952;48;7249.00;"C"
6598;7857;950118 00:00:00;68112;12;5676.00;"A"
5464;2419;950130 00:00:00;95808;12;7984.00;"A"
6591;7819;950202 00:00:00;20832;48;434.00;"C"
5724;3678;950205 00:00:00;316140;60;5269.00;"D"
6315;6472;950206 00:00:00;43164;12;3597.00;"A"
5876;4413;950208 00:00:00;221280;48;4610.00;"C"
6986;9750;950211 00:00:00;151728;48;3161.00;"D"
6294;6353;950212 00:00:00;79920;60;1332.00;"C"
5132;817;950217 00:00:00;538500;60;8975.00;"C"
5877;4414;950223 00:00:00;97224;24;4051.00;"A"
6227;6030;950304 00:00:00;28248;24;1177.00;"A"
7241;11021;950304 00:00:00;168984;24;7041.00;"B"
6737;8564;950311 00:00:00;76680;24;3195.00;"A"
7004;9869;950315 00:00:00;331560;60;5526.00;"C"
6169;5700;950316 00:00:00;103680;60;1728.00;"D"
5208;1247;950316 00:00:00;99696;48;2077.00;"D"
6694;8316;950319 00:00:00;134784;24;5616.00;"A"
5599;3064;950321 00:00:00;15420;12;1285.00;"A"
6546;7607;950327 00:00:00;31728;24;1322.00;"A"
5414;2228;950329 00:00:00;185952;48;3874.00;"C"
5453;2361;950401 00:00:00;156672;36;4352.00;"A"
5740;3752;950402 00:00:00;18564;12;1547.00;"A"
5804;4079;950405 00:00:00;158976;48;3312.00;"C"
6745;8625;950410 00:00:00;47304;24;1971.00;"A"
6950;9591;950411 00:00:00;104712;24;4363.00;"A"
6996;9828;950413 00:00:00;126600;24;5275.00;"A"
5352;1993;950415 00:00:00;68400;12;5700.00;"B"
6151;5628;950425 00:00:00;225420;60;3757.00;"C"
5310;1762;950428 00:00:00;248148;36;6893.00;"A"
5045;347;950501 00:00:00;187224;24;7801.00;"B"
6929;9472;950508 00:00:00;36396;12;3033.00;"A"
5151;960;950524 00:00:00;189060;60;3151.00;"C"
5212;1256;950529 00:00:00;71064;36;1974.00;"A"
5138;854;950530 00:00:00;87216;48;1817.00;"C"
5713;3629;950530 00:00:00;158760;60;2646.00;"C"
6704;8377;950601 00:00:00;417060;60;6951.00;"C"
6474;7190;950606 00:00:00;63360;60;1056.00;"C"
6676;8159;950613 00:00:00;29784;24;1241.00;"A"
6965;9656;950613 00:00:00;139536;24;5814.00;"A"
6725;8489;950623 00:00:00;265320;36;7370.00;"A"
7166;10630;950624 00:00:00;198240;24;8260.00;"A"
7138;10440;950703 00:00:00;60000;60;1000.00;"C"
5970;4774;950709 00:00:00;465072;48;9689.00;"C"
6157;5650;950710 00:00:00;98592;24;4108.00;"A"
6153;5632;950725 00:00:00;285600;60;4760.00;"C"
5693;3489;950801 00:00:00;44088;24;1837.00;"A"
5922;4580;950805 00:00:00;20220;12;1685.00;"A"
5959;4727;950811 00:00:00;107640;24;4485.00;"A"
5980;4825;950818 00:00:00;21396;12;1783.00;"A"
6764;8776;950826 00:00:00;33984;48;708.00;"C"
5237;1375;950829 00:00:00;45336;24;1889.00;"A"
6726;8492;950903 00:00:00;85860;60;1431.00;"C"
6933;9493;950909 00:00:00;188688;48;3931.00;"C"
5145;915;950916 00:00:00;309552;48;6449.00;"C"
7008;9897;950922 00:00:00;36168;12;3014.00;"A"
7227;10942;951002 00:00:00;314520;60;5242.00;"C"
6600;7861;951008 00:00:00;21852;36;607.00;"A"
6712;8405;951014 00:00:00;266220;60;4437.00;"C"
7057;10093;951020 00:00:00;231696;36;6436.00;"A"
7176;10663;951028 00:00:00;260028;36;7223.00;"A"
7304;11349;951029 00:00:00;419880;60;6998.00;"C"
6362;6738;951031 00:00:00;37908;12;3159.00;"A"
5880;4423;951031 00:00:00;73836;36;2051.00;"A"
6535;7546;951102 00:00:00;41952;12;3496.00;"A"
5449;2343;951104 00:00:00;99336;24;4139.00;"A"
6342;6609;951112 00:00:00;60156;36;1671.00;"B"
5409;2218;951118 00:00:00;182040;60;3034.00;"C"
6955;9627;951122 00:00:00;244368;48;5091.00;"C"
6985;9731;951122 00:00:00;113796;36;3161.00;"A"
5125;789;951123 00:00:00;73056;48;1522.00;"C"
5805;4081;951128 00:00:00;137904;24;5746.00;"B"
6185;5774;951128 00:00:00;31176;24;1299.00;"A"
7243;11042;951204 00:00:00;217152;36;6032.00;"A"
6403;6924;951205 00:00:00;194880;48;4060.00;"C"
6578;7765;951211 00:00:00;27984;12;2332.00;"A"
5413;2227;951212 00:00:00;92976;24;3874.00;"A"
6949;9583;951212 00:00:00;104712;24;4363.00;"A"
6545;7606;951212 00:00:00;191880;60;3198.00;"C"
6178;5742;951216 00:00:00;232560;48;4845.00;"C"
5160;1011;951218 00:00:00;204000;60;3400.00;"C"
6785;8899;951225 00:00:00;125340;60;2089.00;"C"
6540;7562;951231 00:00:00;309600;48;6450.00;"C"
6589;7815;960101 00:00:00;189696;24;7904.00;"A"
5900;4503;960101 00:00:00;135360;48;2820.00;"C"
5999;4907;960103 00:00:00;98832;48;2059.00;"C"
6043;5126;960111 00:00:00;20352;48;424.00;"C"
5482;2496;960112 00:00:00;165120;60;2752.00;"C"
7263;11138;960119 00:00:00;89880;24;3745.00;"A"
6013;4995;960203 00:00:00;128988;36;3583.00;"D"
5750;3804;960208 00:00:00;63252;12;5271.00;"A"
6027;5066;960210 00:00:00;61656;24;2569.00;"B"
6303;6400;960212 00:00:00;72408;24;3017.00;"B"
7213;10884;960213 00:00:00;113544;36;3154.00;"C"
6659;8092;960220 00:00:00;56100;60;935.00;"C"
6175;5735;960221 00:00:00;290700;60;4845.00;"D"
5610;3112;960224 00:00:00;123216;48;2567.00;"C"
5563;2912;960229 00:00:00;380160;60;6336.00;"C"
5989;4852;960304 00:00:00;213300;36;5925.00;"C"
6698;8327;960310 00:00:00;247728;48;5161.00;"C"
5312;1772;960313 00:00:00;202788;36;5633.00;"C"
7189;10728;960321 00:00:00;154656;48;3222.00;"C"
6816;9017;960326 00:00:00;100224;48;2088.00;"D"
6137;5574;960410 00:00:00;44628;12;3719.00;"A"
5128;808;960411 00:00:00;215616;48;4492.00;"D"
5470;2456;960415 00:00:00;200976;48;4187.00;"C"
5593;3037;960418 00:00:00;277884;36;7719.00;"D"
5350;1967;960421 00:00:00;249312;48;5194.00;"C"
6063;5213;960425 00:00:00;320976;48;6687.00;"D"
6501;7418;960429 00:00:00;30276;12;2523.00;"B"
5452;2352;960429 00:00:00;49440;60;824.00;"C"
4961;19;960429 00:00:00;30276;12;2523.00;"B"
4973;67;960502 00:00:00;165960;24;6915.00;"A"
6190;5794;960506 00:00:00;123600;60;2060.00;"C"
6715;8411;960506 00:00:00;220620;60;3677.00;"C"
5892;4462;960514 00:00:00;66480;24;2770.00;"B"
6550;7614;960518 00:00:00;320592;48;6679.00;"C"
5706;3608;960524 00:00:00;161496;36;4486.00;"C"
5148;940;960529 00:00:00;284280;60;4738.00;"C"
6734;8547;960530 00:00:00;173016;36;4806.00;"C"
6109;5422;960603 00:00:00;368880;60;6148.00;"C"
6961;9645;960606 00:00:00;176148;36;4893.00;"C"
6810;9006;960608 00:00:00;186384;48;3883.00;"C"
5494;2572;960613 00:00:00;360000;48;7500.00;"C"
5311;1766;960615 00:00:00;30060;60;501.00;"C"
5445;2322;960629 00:00:00;46320;24;1930.00;"A"
5301;1698;960706 00:00:00;141948;36;3943.00;"C"
7034;10001;960711 00:00:00;19044;36;529.00;"C"
6751;8680;960714 00:00:00;85716;36;2381.00;"C"
6667;8127;960715 00:00:00;155880;24;6495.00;"A"
6130;5541;960718 00:00:00;32640;48;680.00;"C"
5429;2268;960718 00:00:00;20196;36;561.00;"C"
5725;3679;960723 00:00:00;444864;48;9268.00;"C"
6019;5033;960725 00:00:00;11400;12;950.00;"A"
6421;6985;960725 00:00:00;96768;36;2688.00;"C"
6992;9790;960727 00:00:00;133968;48;2791.00;"C"
5136;846;960728 00:00:00;187104;24;7796.00;"A"
5337;1886;960731 00:00:00;162468;36;4513.00;"C"
5495;2580;960802 00:00:00;89340;60;1489.00;"C"
7013;9928;960802 00:00:00;89340;60;1489.00;"C"
6012;4994;960803 00:00:00;258444;36;7179.00;"C"
6471;7184;960804 00:00:00;155640;24;6485.00;"A"
6296;6358;960806 00:00:00;270384;48;5633.00;"C"
7305;11359;960806 00:00:00;54024;12;4502.00;"A"
6144;5593;960809 00:00:00;44376;12;3698.00;"A"
6283;6289;960811 00:00:00;85632;48;1784.00;"C"
7246;11054;960820 00:00:00;148920;60;2482.00;"C"
5088;544;960822 00:00:00;91152;24;3798.00;"A"
